Host,Parasite,Weight
ENSG00000145569,PBANKA_090750,5
ENSG00000152766,PBANKA_090910,5
ENSG00000204344,PBANKA_090920,5
ENSG00000105401,PBANKA_090920,5
ENSG00000064547,PBANKA_090920,5
ENSG00000126107,PBANKA_090970,5
ENSG00000132361,PBANKA_090970,5
ENSG00000117419,PBANKA_090980,5
ENSG00000114654,PBANKA_090980,5
ENSG00000144357,PBANKA_091000,5
ENSG00000242732,PBANKA_091010,5
ENSG00000240764,PBANKA_091030,5
ENSG00000188162,PBANKA_091110,5
ENSG00000188021,PBANKA_091110,5
ENSG00000102699,PBANKA_091110,5
ENSG00000143126,PBANKA_091110,5
ENSG00000157483,PBANKA_091110,5
ENSG00000174744,PBANKA_091140,5
ENSG00000100568,PBANKA_091140,5
ENSG00000105401,PBANKA_091180,5
ENSG00000110719,PBANKA_091180,5
ENSG00000175348,PBANKA_091200,5
ENSG00000178163,PBANKA_091200,5
ENSG00000169814,PBANKA_091200,5
ENSG00000083750,PBANKA_091200,5
ENSG00000185896,PBANKA_091270,5
ENSG00000132361,PBANKA_091300,5
ENSG00000105355,PBANKA_091370,5
ENSG00000136250,PBANKA_091380,5
ENSG00000151665,PBANKA_091380,5
ENSG00000130159,PBANKA_091380,5
ENSG00000156042,PBANKA_091380,5
ENSG00000105401,PBANKA_091420,5
ENSG00000163956,PBANKA_091420,5
ENSG00000132361,PBANKA_091490,5
ENSG00000169609,PBANKA_091530,5
ENSG00000151665,PBANKA_091530,5
ENSG00000130159,PBANKA_091530,5
ENSG00000139180,PBANKA_091530,5
ENSG00000111481,PBANKA_091530,5
ENSG00000227500,PBANKA_091590,5
ENSG00000132361,PBANKA_091700,5
ENSG00000125531,PBANKA_091700,5
ENSG00000159792,PBANKA_091710,5
ENSG00000185896,PBANKA_091740,5
ENSG00000136770,PBANKA_091800,5
ENSG00000188162,PBANKA_091880,5
ENSG00000125531,PBANKA_091890,5
ENSG00000204344,PBANKA_091910,5
ENSG00000105401,PBANKA_091910,5
ENSG00000136770,PBANKA_091910,5
ENSG00000149923,PBANKA_091910,5
ENSG00000143552,PBANKA_091960,5
ENSG00000188162,PBANKA_091990,5
ENSG00000102699,PBANKA_091990,5
ENSG00000168032,PBANKA_091990,5
ENSG00000126464,PBANKA_091990,5
ENSG00000172037,PBANKA_092130,5
ENSG00000130159,PBANKA_092230,5
ENSG00000105401,PBANKA_092340,5
ENSG00000104805,PBANKA_092340,5
ENSG00000127948,PBANKA_092340,5
ENSG00000149923,PBANKA_092340,5
ENSG00000090316,PBANKA_092350,5
ENSG00000105401,PBANKA_092350,5
ENSG00000181038,PBANKA_092400,5
ENSG00000161533,PBANKA_092400,5
ENSG00000122034,PBANKA_092400,5
ENSG00000129197,PBANKA_092400,5
ENSG00000169814,PBANKA_092400,5
ENSG00000134330,PBANKA_092400,5
ENSG00000172037,PBANKA_092410,5
ENSG00000106976,PBANKA_092410,5
ENSG00000153823,PBANKA_092410,5
ENSG00000130159,PBANKA_092420,5
ENSG00000152766,PBANKA_092430,5
ENSG00000143552,PBANKA_092460,5
ENSG00000141504,PBANKA_092530,5
ENSG00000169740,PBANKA_092530,5
ENSG00000096080,PBANKA_092530,5
ENSG00000161016,PBANKA_092530,5
ENSG00000130159,PBANKA_092610,5
ENSG00000132622,PBANKA_092620,5
ENSG00000123146,PBANKA_092670,5
